target,direction,run_id,model,selected,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,accuracy,auc,hit@60,cov@60,hit@70,cov@70,composite,rank_in_group
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,xgb,False,8,2,63,0.0,0.0,0.7505731315910132,0.5649757480616768,0.7756714060031595,0.8707015130674003,0.7927815805849409,0.7368179734066942,0.9465480895998932,16.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,et,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,gbm,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,lgbm,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,logreg,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,rf,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F2W_R63d_T10bp_S0.0,xgb,False,8,2,63,10.0,0.0,,,,,,,,
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,et,False,8,4,63,0.0,0.0,0.6725011515430677,0.5811066474045634,0.7042459736456809,0.6292031321971442,0.7728706624605678,0.2920313219714417,0.8386030061347294,50.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,gbm,False,8,4,63,0.0,0.0,0.6600644864117918,0.582810551938414,0.6758620689655173,0.8682634730538922,0.6840509399636143,0.7595578074619991,0.9248191393034714,20.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,lgbm,False,8,4,63,0.0,0.0,0.6725011515430677,0.5931863608477964,0.685129740518962,0.9230769230769232,0.6972826086956522,0.8475356978350991,0.9683337000666008,10.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,logreg,False,8,4,63,0.0,0.0,0.5039152464302165,0.5581009677227841,0.5067506750675067,0.5117457392906495,0.5507900677200903,0.2040534315983417,0.702831895787237,67.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,rf,False,8,4,63,0.0,0.0,0.6600644864117918,0.5727088322020146,0.6666666666666666,0.7586365730078305,0.7287615148413511,0.4500230308613542,0.8623607427307167,39.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T0bp_S0.0,xgb,False,8,4,63,0.0,0.0,0.6425610317825887,0.5682046664423819,0.6607608129233976,0.8839244587747582,0.6726726726726727,0.7669276830953478,0.9000717862254036,29.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,et,False,8,4,63,10.0,0.0,0.5962059620596206,0.5941655941655941,0.6178343949044586,0.4254742547425474,0.7142857142857143,0.1707317073170731,0.7503554658026202,59.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,gbm,False,8,4,63,10.0,0.0,0.5582655826558266,0.5853097995955139,0.5693215339233039,0.91869918699187,0.5724381625441696,0.7669376693766937,0.8914474454544141,31.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,lgbm,False,8,4,63,10.0,0.0,0.5718157181571816,0.5485076913648342,0.5764705882352941,0.9214092140921408,0.5606557377049181,0.8265582655826558,0.8398559501927678,48.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,logreg,False,8,4,63,10.0,0.0,0.5609756097560976,0.5176809462523748,0.5844155844155844,0.8346883468834688,0.6,0.6504065040650406,0.7702082371071918,57.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,rf,False,8,4,63,10.0,0.0,0.5907859078590786,0.5856162284733712,0.5472972972972973,0.4010840108401084,0.7758620689655172,0.1571815718157181,0.714166132284599,65.0
us_ig_oas_xl,persist,L8W_F4W_R63d_T10bp_S0.0,xgb,False,8,4,63,10.0,0.0,0.5392953929539296,0.5426242569099711,0.5482866043613707,0.8699186991869918,0.5398550724637681,0.7479674796747967,0.8014369106122878,55.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,et,False,12,2,63,0.0,0.0,0.8747706422018349,0.5225939066522152,0.8949852507374632,0.7775229357798165,0.8813096862210096,0.3362385321100917,0.8862521435290088,31.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,gbm,False,12,2,63,0.0,0.0,0.8770642201834863,0.5667486621054058,0.8817504655493482,0.9853211009174312,0.8864942528735632,0.9577981651376148,1.0591440593657904,9.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,lgbm,False,12,2,63,0.0,0.0,0.8862385321100917,0.5550505520932123,0.8877598152424943,0.993119266055046,0.8905075187969925,0.9761467889908256,1.044411635177228,12.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,logreg,False,12,2,63,0.0,0.0,0.6334862385321101,0.6045695874542746,0.6470905172413793,0.8513761467889909,0.6798941798941799,0.6935779816513762,0.93763751155179,24.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,rf,False,12,2,63,0.0,0.0,0.8779816513761468,0.4949109199295488,0.8936282253817799,0.8711009174311927,0.88366124893071,0.5362385321100918,0.8801695580581931,34.0
us_spr_10_30,persist,L12W_F2W_R63d_T0bp_S0.0,xgb,False,12,2,63,0.0,0.0,0.8270642201834862,0.532973174366617,0.8478478478478478,0.91651376146789,0.863021420518602,0.8137614678899082,0.9471275584845296,21.0
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,et,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,gbm,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,lgbm,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,logreg,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,rf,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F2W_R63d_T10bp_S0.0,xgb,False,12,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,et,False,12,4,63,0.0,0.0,0.7585253456221198,0.5014643304130162,0.771680216802168,0.680184331797235,0.7878787878787878,0.304147465437788,0.7646753314915533,46.0
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,gbm,False,12,4,63,0.0,0.0,0.7322580645161291,0.5053354192740926,0.7466734902763562,0.9004608294930876,0.7532088681446908,0.7898617511520737,0.8450978048597614,39.0
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,lgbm,False,12,4,63,0.0,0.0,0.7387096774193549,0.5111464330413016,0.7477042049299178,0.9534562211981568,0.7601023017902814,0.9009216589861752,0.8755443740159069,36.0
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,logreg,False,12,4,63,0.0,0.0,0.5529953917050692,0.5267046307884856,0.5701451278507257,0.6668202764976958,0.5976047904191617,0.3847926267281106,0.7269494788993155,49.0
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,rf,False,12,4,63,0.0,0.0,0.7497695852534563,0.4531351689612015,0.7608832807570978,0.7304147465437788,0.7541191381495564,0.363594470046083,0.7049697375175191,51.0
us_spr_10_30,persist,L12W_F4W_R63d_T0bp_S0.0,xgb,False,12,4,63,0.0,0.0,0.7460829493087557,0.5008685857321653,0.7593873517786561,0.9327188940092166,0.7674666666666666,0.8640552995391705,0.8556312660410769,37.0
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,et,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,gbm,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,lgbm,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,logreg,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,rf,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L12W_F4W_R63d_T10bp_S0.0,xgb,False,12,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,et,False,20,2,63,0.0,0.0,0.7724770642201835,0.6593274582560297,0.8285899094437258,0.7091743119266055,0.9145907473309608,0.386697247706422,1.0467579509284948,11.0
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,gbm,False,20,2,63,0.0,0.0,0.7394495412844037,0.6660517161410019,0.7865720524017468,0.8403669724770643,0.8346994535519126,0.671559633027523,1.1063180110764073,5.0
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,lgbm,False,20,2,63,0.0,0.0,0.8903669724770642,0.6678896103896104,0.8981698732989207,0.9775229357798164,0.90148966842864,0.9545871559633028,1.2542844334564518,1.0
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,logreg,False,20,2,63,0.0,0.0,0.4738532110091743,0.5647286641929499,0.4679319371727748,0.7009174311926606,0.5006045949214026,0.3793577981651376,0.7499493040543991,47.0
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,rf,False,20,2,63,0.0,0.0,0.8912844036697247,0.6434253246753247,0.9087701612903226,0.910091743119266,0.9242695289206916,0.7692660550458715,1.1755793890742283,2.0
us_spr_10_30,persist,L20W_F2W_R63d_T0bp_S0.0,xgb,False,20,2,63,0.0,0.0,0.8380733944954128,0.6299083951762523,0.8609599208312716,0.9270642201834862,0.8794402583423035,0.8522935779816514,1.1326793160967472,4.0
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,et,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,gbm,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,lgbm,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,logreg,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,rf,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F2W_R63d_T10bp_S0.0,xgb,False,20,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,et,False,20,4,63,0.0,0.0,0.7649769585253456,0.6391916876633073,0.829673590504451,0.7764976958525346,0.871616395978345,0.595852534562212,1.0509843048768113,10.0
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,gbm,False,20,4,63,0.0,0.0,0.7308755760368664,0.6183189856289659,0.7671986791414419,0.8373271889400922,0.8053596614950634,0.6534562211981567,1.015524822480016,14.0
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,lgbm,False,20,4,63,0.0,0.0,0.812442396313364,0.5994220091452034,0.8281703775411423,0.952073732718894,0.8352098259979529,0.9004608294930876,1.0720538329458684,6.0
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,logreg,False,20,4,63,0.0,0.0,0.5447004608294931,0.6156258748600224,0.541544477028348,0.9428571428571428,0.5436487192890748,0.8815668202764977,0.92996387916643,26.0
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,rf,False,20,4,63,0.0,0.0,0.7612903225806451,0.6287473170959315,0.8436341161928307,0.7456221198156682,0.8697042366107114,0.5764976958525345,1.0242496617207917,13.0
us_spr_10_30,persist,L20W_F4W_R63d_T0bp_S0.0,xgb,False,20,4,63,0.0,0.0,0.791705069124424,0.6143442049272116,0.815668202764977,0.9,0.8277649769585254,0.8,1.0653351350880635,7.0
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,et,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,gbm,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,lgbm,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,logreg,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,rf,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L20W_F4W_R63d_T10bp_S0.0,xgb,False,20,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,et,False,4,2,63,0.0,0.0,0.7935779816513762,0.5261652206174876,0.8145258103241296,0.7642201834862385,0.8571428571428571,0.4463302752293578,0.8536910024422264,38.0
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,gbm,False,4,2,63,0.0,0.0,0.7559633027522936,0.522844001019163,0.7891692954784437,0.8724770642201835,0.8089887640449438,0.7348623853211009,0.8828388842896967,32.0
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,lgbm,False,4,2,63,0.0,0.0,0.8091743119266055,0.5381001551094482,0.8181388757675957,0.9711009174311926,0.824656188605108,0.9339449541284404,0.9656182599945694,17.0
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,logreg,False,4,2,63,0.0,0.0,0.4582568807339449,0.5604427696796044,0.4608559498956158,0.8788990825688073,0.4562575941676792,0.755045871559633,0.7874477997837744,42.0
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,rf,False,4,2,63,0.0,0.0,0.7922018348623853,0.5191785904261264,0.816847479259732,0.7188073394495413,0.8669301712779973,0.3481651376146789,0.8240173958139437,40.0
us_spr_10_30,persist,L4W_F2W_R63d_T0bp_S0.0,xgb,False,4,2,63,0.0,0.0,0.7619266055045871,0.5634332083219721,0.7965830218900161,0.8591743119266055,0.818586887332909,0.7206422018348624,0.949048963742331,20.0
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,et,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,gbm,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,lgbm,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,logreg,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,rf,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F2W_R63d_T10bp_S0.0,xgb,False,4,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,et,False,4,4,63,0.0,0.0,0.6907834101382488,0.5354482837463203,0.7735321528424977,0.4944700460829493,0.8133116883116883,0.2838709677419355,0.7402510835202584,48.0
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,gbm,False,4,4,63,0.0,0.0,0.7027649769585254,0.5722918631569922,0.7388429752066116,0.836405529953917,0.7586436170212766,0.6930875576036867,0.9259524108498616,27.0
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,lgbm,False,4,4,63,0.0,0.0,0.7377880184331798,0.5850947440624197,0.7556008146639511,0.9050691244239631,0.7704728950403691,0.7990783410138249,0.9852240529051066,16.0
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,logreg,False,4,4,63,0.0,0.0,0.6364055299539171,0.5878830489582441,0.6487684729064039,0.935483870967742,0.6554845580404686,0.8654377880184332,0.9446765860448834,22.0
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,rf,False,4,4,63,0.0,0.0,0.716589861751152,0.5544233902083513,0.7579388855602157,0.7691244239631336,0.776,0.5184331797235023,0.8776241222883349,35.0
us_spr_10_30,persist,L4W_F4W_R63d_T0bp_S0.0,xgb,False,4,4,63,0.0,0.0,0.7377880184331798,0.5731321272399897,0.7476970317297851,0.9004608294930876,0.7561709813365443,0.7654377880184332,0.9590058774232272,18.0
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,et,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,gbm,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,lgbm,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,logreg,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,rf,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L4W_F4W_R63d_T10bp_S0.0,xgb,False,4,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,et,False,8,2,63,0.0,0.0,0.75,0.5362149532710281,0.7950760318609703,0.6334862385321101,0.8198433420365535,0.1756880733944954,0.8062901912029495,41.0
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,gbm,False,8,2,63,0.0,0.0,0.7247706422018348,0.5616219596213755,0.7484693877551021,0.8990825688073395,0.7779090372120496,0.7766055045871559,0.9395574709812644,23.0
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,lgbm,False,8,2,63,0.0,0.0,0.7522935779816514,0.5171963615304737,0.7606103958035288,0.9619266055045872,0.7643248629795715,0.9206422018348625,0.895603791182357,30.0
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,logreg,False,8,2,63,0.0,0.0,0.5041284403669725,0.5492651170221263,0.5204741379310345,0.4256880733944954,0.5217391304347826,0.1160550458715596,0.670960094784368,52.0
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,rf,False,8,2,63,0.0,0.0,0.7651376146788991,0.5434115144979631,0.7906197654941374,0.8215596330275229,0.8243386243386244,0.4334862385321101,0.8963797275847134,29.0
us_spr_10_30,persist,L8W_F2W_R63d_T0bp_S0.0,xgb,False,8,2,63,0.0,0.0,0.7270642201834863,0.5222605389807492,0.7439085032322228,0.9224770642201836,0.7624035281146637,0.8321100917431192,0.880655844629924,33.0
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,et,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,gbm,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,lgbm,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,logreg,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,rf,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F2W_R63d_T10bp_S0.0,xgb,False,8,2,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,et,False,8,4,63,0.0,0.0,0.616589861751152,0.5226713191271171,0.6376262626262627,0.3649769585253456,0.6467391304347826,0.0847926267281106,0.644306810444718,55.0
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,gbm,False,8,4,63,0.0,0.0,0.5023041474654378,0.4973278514228837,0.5394321766561514,0.4382488479262673,0.5863095238095238,0.1548387096774193,0.6148989056993535,56.0
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,lgbm,False,8,4,63,0.0,0.0,0.5995391705069124,0.5138159978283491,0.6065228826933193,0.876036866359447,0.6331109763493026,0.7599078341013825,0.7868251432182508,43.0
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,logreg,False,8,4,63,0.0,0.0,0.5142857142857142,0.496330626310154,0.5184426229508197,0.6746543778801843,0.5594002306805075,0.3995391705069124,0.6699319836232447,53.0
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,rf,False,8,4,63,0.0,0.0,0.6225806451612903,0.5176974468020932,0.668918918918919,0.5456221198156682,0.6380090497737556,0.1018433179723502,0.7066450863722581,50.0
us_spr_10_30,persist,L8W_F4W_R63d_T0bp_S0.0,xgb,False,8,4,63,0.0,0.0,0.6087557603686636,0.5077591277202189,0.6153045288912025,0.8852534562211981,0.6369230769230769,0.7488479262672811,0.7843357585798035,44.0
us_spr_10_30,persist,L8W_F4W_R63d_T10bp_S0.0,et,False,8,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F4W_R63d_T10bp_S0.0,gbm,False,8,4,63,10.0,0.0,,,,,,,,
us_spr_10_30,persist,L8W_F4W_R63d_T10bp_S0.0,lgbm,False,8,4,63,10.0,0.0,,,,,,,,
