target,run_id,n_features,features
spread_bbb_3y,L12W_F4W_R63d_T0bp_S0.0,80,"z60_sp_corp_aa_3y,z252_cd_base_spread,fgn_kospi_cum20,lvl_jpykrw,lvl_dxy_broad,lvl_yh_dxy,d60_cd_91d,ret20_usdkrw,d20_usdkrw_range,lvl_wti,d20_us_ig_oas_xl,z60_sp_corp_bbb_3y,ret20_kospi,vol20_ktb_3y,z60_usdkrw,kr_growth_ip_total_lvl,d60_ktb_1y,z60_ktb_20y,z60_sp_indfin_1y,z252_us_spr_5_30,usdkrw_range,lvl_brent,z60_tedrate,z60_yh_gold,z60_ktb_1y ..."
spread_kepco_5y,L12W_F4W_R63d_T0bp_S0.0,80,"z60_sp_corp_bbb_3y,fgn_kospi_cum20,vol20_ktb_3y,vol20_kospi,d20_usdkrw_range,z60_cd_base_spread,ret20_jpykrw,ret20_kospi,z60_wti,vol20_ktb_5y,lvl_yh_gold,z60_cd_91d,d20_sp_corp_bbb_3y,kr_price_cpi_total_lvl,z252_cd_base_spread,sp_kepco_5y,d20_sp_corp_aa_3y,vol20_ktb_10y,z60_brent,z60_bfly_3_5_10,z60_eurkrw,z60_us_bei_5y5y,kr_growth_cli_lead_mom,z60_us_ffr,z60_vixcls ..."
spread_ktb_10_30,L12W_F4W_R63d_T0bp_S0.0,80,"d60_slope_30y5y,d60_slope_30y10y,lvl_us_ig_oas_xl,z252_cd_91d,kr_sent_csi_total_yoy,d20_yh_gold,z252_slope_30y10y,z60_us_ffr,d20_us_spr_5_30,sp_kepco_5y,z252_slope_30y5y,d20_sp_corp_aa_3y,vol20_ktb_3y,z60_kospi,z60_slope_30y5y,d20_slope_30y5y,z60_bfly_3_5_10,z252_ktb_5y,z60_sp_kepco_5y,z60_dxy_broad,z60_wti,d20_brent,z252_cd_base_spread,sp_corp_aa_3y,d5_yh_dxy ..."
spread_ktb_3_10,L12W_F4W_R63d_T0bp_S0.0,80,"d60_slope_10y3y,z252_slope_10y3y,vol20_kospi,fgn_kospi_cum20,vol20_ktb_10y,lvl_usdkrw,slope_10y3y,lvl_yh_dxy,kr_growth_cli_lead_mom,z252_cd_91d,z252_us_spr_5_30,sp_corp_aa_3y,z60_cd_91d,z252_cd_base_spread,d20_sp_corp_bbb_3y,z252_bfly_3_5_10,d60_ktb_1y,z60_slope_10y3y,z60_sp_indfin_1y,z60_us_ig_oas_xl,z60_usdkrw,kr_sent_csi_total_mom,d60_bfly_3_5_10,z60_us_bei_5y5y,z60_us_spr_10_30 ..."
spread_ktb_5_30,L12W_F4W_R63d_T0bp_S0.0,285,"lvl_ktb_1y,lvl_ktb_3y,lvl_ktb_5y,lvl_ktb_10y,lvl_ktb_20y,lvl_ktb_30y,lvl_cd_91d,slope_10y2y,slope_30y10y,slope_30y5y,slope_10y3y,bfly_3_5_10,ktb3y_base_spread,cd_base_spread,d5_ktb_1y,d20_ktb_1y,d60_ktb_1y,z20_ktb_1y,z60_ktb_1y,z252_ktb_1y,d5_ktb_3y,d20_ktb_3y,d60_ktb_3y,z20_ktb_3y,z60_ktb_3y ..."
us_10y_xl,L12W_F4W_R63d_T0bp_S0.0,80,"lvl_us_ig_oas_xl,kr_growth_ip_total_mom,z60_us_ffr,z60_sp_corp_aa_3y,z252_ktb_1y,z60_cd_base_spread,z60_us_spr_10_30,d60_ktb_20y,lvl_us_bei_5y5y,kr_sent_csi_total_mom,vol20_ktb_3y,lvl_us_5y,vol20_kospi,z60_us_ig_oas_xl,d60_bfly_3_5_10,z252_cd_base_spread,d20_bfly_3_5_10,z252_slope_10y3y,sp_kepco_5y,d20_sp_corp_bbb_3y,lvl_usdkrw,z60_ktb_1y,kr_growth_cli_lead_mom,z60_sp_corp_bbb_3y,z60_jpykrw ..."
us_ig_oas_xl,L12W_F4W_R63d_T0bp_S0.0,80,"lvl_us_ig_oas_xl,sp_corp_bbb_3y,z60_sp_indfin_1y,z252_ktb_30y,z60_sp_corp_aa_3y,d60_cd_base_spread,ret20_kospi,d20_us_ig_oas_xl,z252_cd_base_spread,z60_sp_corp_bbb_3y,d20_usdkrw_range,d20_ktb_1y,lvl_vixcls,d20_wti,vol20_kospi,z60_us_ffr,kr_price_cpi_total_mom,z60_tedrate,z60_us_ig_oas_xl,ktb3y_base_spread,z252_cd_91d,lvl_yh_sp500,lvl_usdkrw,lvl_brent,d20_brent ..."
us_spr_10_30,L12W_F4W_R63d_T0bp_S0.0,80,"d20_bfly_3_5_10,d60_ktb3y_base_spread,z60_yh_gold,vol20_ktb_10y,z60_brent,d60_bfly_3_5_10,d20_sp_kepco_5y,lvl_wti,vol20_ktb_5y,d20_slope_30y5y,z60_dxy_broad,lvl_us_spr_10_30,d20_brent,z252_us_spr_10_30,vol20_ktb_3y,z60_jpykrw,z60_us_bei_10y,z60_cd_base_spread,lvl_usdkrw,lvl_cnykrw,sp_kepco_5y,d20_us_bei_5y5y,z60_usdkrw,ret20_usdkrw,kr_growth_cli_lead_mom ..."
us_spr_2_10,L12W_F4W_R63d_T0bp_S0.0,80,"z60_wti,lvl_us_ig_oas_xl,kr_sent_csi_total_mom,d60_ktb_20y,z60_kospi,d60_slope_10y3y,z60_us_10y,z60_yh_gold,z60_sp_corp_bbb_3y,z60_sp_indfin_1y,z60_us_spr_10_30,z252_us_spr_2_10,vol20_ktb_3y,d20_brent,d60_cd_base_spread,sp_kepco_5y,z60_sp_corp_aa_3y,sp_indfin_1y,lvl_us_real_10y,lvl_us_2y,z60_us_bei_10y,z252_cd_91d,vol20_kospi,z60_us_ffr,d60_ktb3y_base_spread ..."
us_spr_5_30,L12W_F4W_R63d_T0bp_S0.0,80,"d20_usdkrw_range,z252_us_spr_10_30,vol20_ktb_5y,z60_us_bei_10y,d20_dxy_broad,z60_us_ffr,z60_eurkrw,d60_bfly_3_5_10,ret20_usdkrw,z60_us_spr_10_30,vol20_ktb_10y,d60_ktb3y_base_spread,z60_us_ig_oas_xl,z60_wti,d20_brent,z60_cd_base_spread,z60_sp_kepco_5y,z60_cd_91d,d20_us_spr_5_30,z60_yh_dxy,ret20_jpykrw,z60_sp_corp_bbb_3y,z252_cd_91d,d5_yh_dxy,ret20_kospi ..."
