target,run_id,direction,model,year,n,accuracy,auc,hit@60,cov@60
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2025,243,0.7119341563786008,0.6272300469483568,0.9390243902439024,0.3374485596707819
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,et,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2018,245,0.9591836734693877,0.24382978723404253,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2019,247,0.7894736842105263,0.6158218125960062,0.8193832599118943,0.9190283400809717
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2020,249,0.8313253012048193,0.4093301435406698,0.8367346938775511,0.9839357429718876
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2021,249,0.9196787148594378,0.488646288209607,0.9196787148594378,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2022,247,0.8785425101214575,0.7543778801843318,0.8785425101214575,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2023,246,0.6991869918699187,0.592989417989418,0.7420814479638009,0.8983739837398373
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2024,245,0.7346938775510204,0.6242682926829268,0.7713004484304933,0.9102040816326531
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2025,243,0.831275720164609,0.6128325508607199,0.8508771929824561,0.9382716049382716
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,gbm,2026,86,1.0,,1.0,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2018,245,0.9551020408163265,0.08085106382978724,0.9549180327868853,0.9959183673469387
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2019,247,0.5910931174089069,0.5337941628264209,0.6033755274261603,0.9595141700404858
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2020,249,0.27710843373493976,0.0937799043062201,0.2716049382716049,0.9759036144578314
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2021,249,0.7550200803212851,0.20131004366812227,0.7613168724279835,0.9759036144578314
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2022,247,0.805668016194332,0.5376344086021505,0.8048780487804879,0.9959514170040485
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2023,246,0.7235772357723578,0.3244708994708995,0.7215189873417721,0.9634146341463414
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2024,245,0.4163265306122449,0.46341463414634143,0.39901477832512317,0.8285714285714286
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2025,243,0.7160493827160493,0.7330203442879499,0.7296137339055794,0.9588477366255144
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,logreg,2026,86,0.9767441860465116,,0.9880952380952381,0.9767441860465116
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2018,245,0.9591836734693877,0.20468085106382977,0.9591836734693877,1.0
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2019,247,0.7408906882591093,0.5697388632872503,0.7906976744186046,0.6963562753036437
ktb_30y,L12W_F2W_R63d_T0bp_S0.0,persist,ensemble,2020,249,0.7791164658634538,0.11052631578947368,0.770949720670391,0.7188755020080321
