target,run_id,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,direction,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite,hpo_best_auc,wf_time_s,ensemble_mode
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,xgb,2170,0.8894009216589862,0.7829493087557604,0.9248689574839837,0.8227979274611399,0.8708527556896078,0.6878756476683938,0.8374730021598272,0.8534562211981567,0.889538661468486,0.7092165898617512,1.179532389388983,0.6060721636883708,22.048675775527954,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,ensemble,911,0.854006586169045,0.8210757409440176,0.8613396004700352,0.9421593830334191,0.899938612645795,0.5604499681079305,0.8473684210526315,0.8342480790340285,0.8705882352941177,0.5598243688254665,0.9566407249262698,,,weighted
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,et,911,0.854006586169045,0.8155872667398463,0.8648325358851675,0.929305912596401,0.895910780669145,0.507634768154319,0.8589928057553957,0.7628979143798024,0.8356164383561644,0.4807903402854007,0.840299923574877,0.7503304650646467,31.789029359817505,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,gbm,911,0.854006586169045,0.8046103183315039,0.8614457831325302,0.9190231362467867,0.8893034825870647,0.6095830836731932,0.8482490272373541,0.8463227222832053,0.8616541353383459,0.7299670691547749,1.0471981624023572,0.7492473944193871,216.92088985443115,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,lgbm,911,0.854006586169045,0.8122941822173436,0.8566392479435958,0.9370179948586118,0.8950276243093923,0.5678431296750874,0.8426966292134831,0.8792535675082327,0.8651026392961877,0.7486278814489572,0.988583099522161,0.7139202538902679,12.832429647445679,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,logreg,911,0.854006586169045,0.40175631174533477,0.804177545691906,0.39588688946015427,0.5305770887166236,0.4380327425246922,0.3691275167785235,0.49066959385290887,0.43243243243243246,0.2030735455543359,0.5173690789863543,0.6535835323069094,1.1744632720947266,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,rf,911,0.854006586169045,0.8353457738748628,0.8592677345537757,0.9652956298200515,0.9092009685230025,0.55858476525504,0.8408018867924528,0.9308452250274424,0.8681626928471248,0.7826564215148188,0.9957647187422447,0.761704281649572,79.97329139709473,
us_spr_2_10,L20W_F4W_R63d_T10bp_S0.0,20,4,63,10.0,0.0,persist,xgb,911,0.854006586169045,0.7332601536772777,0.8571428571428571,0.8251928020565553,0.8408644400785854,0.5834799079962116,0.7893915756630265,0.703622392974753,0.8485477178423236,0.5290889132821076,0.9075642476735806,0.6780496641967942,17.904712200164795,
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,ensemble,2180,0.7605504587155963,0.6990825688073394,0.778642936596218,0.8443908323281062,0.8101851851851852,0.5668568510276426,0.7530562347188264,0.7504587155963303,0.7822299651567944,0.5266055045871559,0.8872089796817966,,,weighted
us_spr_2_10,L4W_F2W_R63d_T0bp_S0.0,4,2,63,0.0,0.0,persist,et,2180,0.7605504587155963,0.6972477064220184,0.7809684684684685,0.8365500603136309,0.807804309842749,0.5786099210145631,0.7886323268206039,0.5165137614678899,0.8093306288032455,0.2261467889908257,0.8143005677397612,0.5743492987270747,39.43897199630737,
