target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
spread_ktb_10_30,20,et,1548,0.5071059431524548,0.5355297157622739,0.5427461139896373,0.5337579617834395,0.5382145150931278,0.5362489669507726,0.5555555555555556,0.3081395348837209,0.5833333333333334,0.031007751937984496,0.6280486932052654
spread_ktb_10_30,20,gbm,1548,0.5071059431524548,0.5219638242894057,0.5279503105590062,0.5414012738853503,0.5345911949685535,0.550832700286332,0.5402081362346263,0.6828165374677002,0.5844370860927153,0.39018087855297157,0.7540145296555153
spread_ktb_10_30,20,lgbm,1548,0.5071059431524548,0.5562015503875969,0.5620253164556962,0.5656050955414013,0.5638095238095238,0.5655883997963119,0.5592307692307692,0.8397932816537468,0.559841740850643,0.6531007751937985,0.8312103420779132
spread_ktb_10_30,20,logreg,1548,0.5071059431524548,0.5587855297157622,0.5812101910828026,0.46496815286624205,0.5166312809624911,0.5646267248791645,0.5563234277816171,0.9347545219638242,0.5578790141896938,0.8649870801033591,0.8582472116541822
spread_ktb_10_30,20,rf,1548,0.5071059431524548,0.5232558139534884,0.5257393209200438,0.6114649681528662,0.5653710247349824,0.5410990808992329,0.5503246753246753,0.3979328165374677,0.6626506024096386,0.053617571059431525,0.6595955850496462
spread_ktb_10_30,20,xgb,1548,0.5071059431524548,0.5419896640826873,0.5469135802469136,0.5643312101910828,0.5554858934169279,0.5461971266622702,0.5428571428571428,0.791343669250646,0.5437636761487965,0.5904392764857881,0.7808360731935425
spread_ktb_3_10,10,ensemble,962,0.5166320166320166,0.5124740124740125,0.5295358649789029,0.5050301810865191,0.5169927909371782,0.5352155946431276,0.5310457516339869,0.6361746361746362,0.5756457564575646,0.2817047817047817,0.7160316739144545
spread_ktb_3_10,10,et,962,0.5166320166320166,0.46465696465696466,0.4799107142857143,0.43259557344064387,0.455026455026455,0.5063672356720972,0.5761904761904761,0.2182952182952183,,0.0,0.5700579170819972
spread_ktb_3_10,10,gbm,962,0.5166320166320166,0.5322245322245323,0.5518763796909493,0.5030181086519114,0.5263157894736842,0.5483914238116874,0.5422396856581533,0.5291060291060291,0.5860215053763441,0.19334719334719336,0.7057261774208616
spread_ktb_3_10,10,lgbm,962,0.5166320166320166,0.5187110187110187,0.5382882882882883,0.48088531187122735,0.5079702444208289,0.5421042383332252,0.522972972972973,0.7692307692307693,0.541747572815534,0.5353430353430353,0.760185673088899
spread_ktb_3_10,10,logreg,962,0.5166320166320166,0.5114345114345115,0.5264187866927593,0.5412474849094567,0.5337301587301587,0.508513446269012,0.5223004694835681,0.8856548856548857,0.5220293724966623,0.7785862785862786,0.7437405601876298
spread_ktb_3_10,10,rf,962,0.5166320166320166,0.498960498960499,0.5182481751824818,0.42857142857142855,0.46916299559471364,0.5267778715302567,0.5947955390334573,0.2796257796257796,,0.0010395010395010396,0.6143916547369522
spread_ktb_3_10,10,xgb,962,0.5166320166320166,0.5228690228690228,0.540948275862069,0.5050301810865191,0.522372528616025,0.5419138486834989,0.5271428571428571,0.7276507276507277,0.5456570155902004,0.46673596673596673,0.7497789320142797
spread_ktb_3_10,20,ensemble,1548,0.5116279069767442,0.5471576227390181,0.5799648506151143,0.4166666666666667,0.4849375459221161,0.5697166773555662,0.5645792563600783,0.6602067183462532,0.5768595041322314,0.39082687338501293,0.7820723122613554
spread_ktb_3_10,20,et,1548,0.5116279069767442,0.5510335917312662,0.588021778584392,0.4090909090909091,0.4825018615040953,0.5746001683501682,0.5958254269449715,0.3404392764857881,0.5481481481481482,0.0872093023255814,0.6911534324728769
spread_ktb_3_10,20,gbm,1548,0.5116279069767442,0.5439276485788114,0.5762411347517731,0.41035353535353536,0.47935103244837757,0.5519923106728662,0.5544147843942505,0.6291989664082688,0.5677799607072691,0.32881136950904394,0.7445477678843312
spread_ktb_3_10,20,lgbm,1548,0.5116279069767442,0.5439276485788114,0.583011583011583,0.3813131313131313,0.46106870229007635,0.5610787103842659,0.5511684125705076,0.8016795865633075,0.5624355005159959,0.625968992248062,0.8089972103214996
spread_ktb_3_10,20,logreg,1548,0.5116279069767442,0.5503875968992248,0.5677966101694916,0.5075757575757576,0.536,0.5469476511143179,0.5552427867698804,0.9179586563307494,0.5578125,0.8268733850129198,0.8257213570117319
